year,rank,artist1,title,artist2,artist3,artist4,artist5,artist6
2003,51,Ludacris,Stand Up,Shawnna,,,,
2003,52,Jason Mraz,The Remedy (I Won't Worry),,,,,
2003,53,Santana,Why Don't You And I,Alex Band Or Chad Kroeger,,,,
2003,54,Jay-Z,Excuse Me Miss,,,,,
2003,55,Jennifer Lopez,Jenny from the Block,Styles,Jadakiss,,,
2003,56,Michelle Branch,Are You Happy Now?,,,,,
2003,57,Shania Twain,Forever And For Always,,,,,
2003,58,Nas,I Can,,,,,
2003,59,No Doubt,Underneath It All,Lady Saw,,,,
2003,60,Daniel Bedingfield,If You're Not The One,,,,,
2003,61,R. Kelly,Thoia Thoing,,,,,
2003,62,3 Doors Down,Here Without You,,,,,
2003,63,50 Cent,Wanksta,,,,,
2003,64,Mya,My Love is Like... Wo,,,,,
2003,65,Alan Jackson,It's Five O'Clock Somewhere,Jimmy Buffett,,,,
2003,66,Sean Paul,Like Glue,,,,,
2003,67,Christina Aguilera,Can't Hold Us Down,Lil' Kim,,,,
2003,68,Lonestar,My Front Porch Looking In,,,,,
2003,69,Amanda Perez,Angel,,,,,
2003,70,Puddle Of Mudd,She Hates Me,,,,,
2003,71,Frankie J,Don't Wanna Try,,,,,
2003,72,Lil' Kim,The Jump Off,Mr. Cheeks,,,,
2003,73,Jewel,Intuition,,,,,
2003,74,Ginuwine,Hell Yeah,Baby,,,,
2003,75,Toby Keith,Beer For My Horses,Willie Nelson,,,,
2003,76,Chingy,Holidae In,Ludacris,Snoop Dogg,,,
2003,77,Baby Bash,Suga Suga,Frankie J,,,,
2003,78,Erykah Badu,Love Of My Life (An Ode To Hip Hop),Common,,,,
2003,79,Christina Aguilera,Fighter,,,,,
2003,80,2Pac,Thugz Mansion,,,,,
2003,81,Coldplay,Clocks,,,,,
2003,82,Jaheim,Put that Woman First,,,,,
2003,83,Ashanti,Rain on Me,,,,,
2003,84,Mark Wills,19 Somethin',,,,,
2003,85,Young Gunz,"Can't Stop, Won't Stop",,,,,
2003,86,Brooks,Red Dirt Road,Dunn,,,,
2003,87,Dierks Bentley,What Was I Thinkin',,,,,
2003,88,Ruben Studdard,Flying Without Wings,,,,,
2003,89,Eminem,Sing For The Moment,,,,,
2003,90,Darryl Worley,Have You Forgotten?,,,,,
2003,91,Kenny Chesney,"No Shoes, No Shirt, No Problems",,,,,
2003,92,Aaliyah,Come Over,,,,,
2003,93,Field Mob,Sick Of Being Lonely,,,,,
2003,94,R. Kelly,Step In The Name Of Love,,,,,
2003,95,Thalia,I Want You,Fat Joe,,,,
2003,96,Audioslave,Like A Stone,,,,,
2003,97,Norah Jones,Don't Know Why,,,,,
2003,98,Eminem,Superman,,,,,
2003,99,Tim McGraw,Real Good Man,,,,,
2003,100,Floetry,Say Yes,,,,,
2002,1,Nickelback,How You Remind Me,,,,,
2002,2,Ashanti,Foolish,,,,,
2002,3,Nelly,Hot in Herre,,,,,
2002,4,Nelly,Dilemma,Kelly Rowland,,,,
2002,5,Calling,Wherever You Will Go,,,,,
2002,6,Vanessa Carlton,A Thousand Miles,,,,,
2002,7,Linkin Park,In the End,,,,,
2002,8,Fat Joe,What's Luv?,Ashanti,,,,
2002,9,Usher,U Got it Bad,,,,,
2002,10,Puddle Of Mudd,Blurry,,,,,
2002,11,Avril Lavigne,Complicated,,,,,
2002,12,Ja Rule,Always on Time,Ashanti,,,,
2002,13,Jennifer Lopez,Ain't it Funny,Ja Rule,,,,
2002,14,Jimmy Eat World,The Middle,,,,,
2002,15,P. Diddy,I Need a Girl (Part One),Usher,Loon,,,
2002,16,Usher,U Don't have to Call,,,,,
2002,17,Mary J. Blige,Family Affair,,,,,
2002,18,P. Diddy,I Need a Girl (Part Two),Ginuwine,Loon,Mario Winans,Tammy Ruggeri,
2002,19,Eve,Gangsta Lovin',Alicia Keys,,,,
2002,20,Creed,My Sacrifice,,,,,
2002,21,Eminem,Without Me,,,,,
2002,22,Enrique Iglesias,Hero,,,,,
2002,23,Michelle Branch,All You Wanted,,,,,
2002,24,Pink,Get the Party Started,,,,,
2002,25,Chad Kroeger,Hero,Josey Scott,,,,
2002,26,Default,Wasting My Time,,,,,
2002,27,Creed,One Last Breath,,,,,
2002,28,Shakira,"Whenever, Wherever",,,,,
2002,29,Jennifer Lopez,I'm Gonna Be Alright,Nas,,,,
2002,30,Cam'ron,Oh Boy,Juelz Santana,,,,
2002,31,DJ Sammy,Heaven,Yanou,Do,,,
2002,32,No Doubt,Hey Baby,Bounty Killer,,,,
2002,33,'N Sync,Girlfriend,Nelly,,,,
2002,34,Mario,Just a Friend 2002,,,,,
2002,35,Sheryl Crow,Soak up the Sun,,,,,
2002,36,Pink,Don't Let Me Get Me,,,,,
2002,37,N.O.R.E.,Nothin',,,,,
2002,38,Tweet,Oops (Oh My),,,,,
2002,39,Kelly Clarkson,A Moment Like This,,,,,
2002,40,Truth Hurts,Addictive,Rakim,,,,
2002,41,Ashanti,Happy,,,,,
2002,42,John Mayer,No Such Thing,,,,,
2002,43,Pink,Just Like a Pill,,,,,
2002,44,Irv Gotti Presents The Inc.,Down 4 U,Ja Rule,Ashanti,Charli Baltimore,Vita,
2002,45,Kylie Minogue,Can't Get You Out Of My Head,,,,,
2002,46,Five For Fighting,Superman (It's not Easy),,,,,
2002,47,Eminem,Cleanin' out my Closet,,,,,
2002,48,Musiq,Halfcrazy,,,,,
2002,49,Mr. Cheeks,"Lights, Camera, Action!",,,,,
2002,50,Big Tymers,Still Fly,,,,,
2002,51,Alicia Keys,A Woman's Worth,,,,,
2002,52,Craig David,7 Days,,,,,
2002,53,Cam'ron,Hey Ma,Juelz Santana,Freekey Zekey,Toya,,
2002,54,"Missy ""Misdemeanor"" Elliott",Work It,,,,,
2002,55,Ludacris,Move Bitch,Mystikal,Infamous 2.0,,,
2002,56,LeAnn Rimes,Can't Fight the Moonlight,,,,,
2002,57,Enrique Iglesias,Escape,,,,,
2002,58,Aaliyah,More than a Woman,,,,,
2002,59,No Doubt,Hella Good,,,,,
2002,60,Faith Evans,I Love You,,,,,
2002,61,Daniel Bedingfield,Gotta Get Thru This,,,,,
2002,62,Busta Rhymes,Pass the Courvoisier Part II,P. Diddy,Pharrell,,,
2002,63,Eminem,Lose Yourself,,,,,
2002,64,Michael Jackson,Butterflies,,,,,
2002,65,Brandy,What About Us?,,,,,
2002,66,Shakira,Underneath your Clothes,,,,,
2002,67,Mary J. Blige,Rainy Dayz,Ja Rule,,,,
2002,68,Ginuwine,Differences,,,,,
2002,69,Angie Martinez,If I could Go!,Lil' Mo,Sacario,,,
2002,70,OutKast,The Whole World,Killer Mike,,,,
2002,71,No Doubt,Underneath it All,Lady Saw,,,,
2002,72,City High,Caramel,Eve,,,,
2002,73,LL Cool J,Luv U Better,,,,,
2002,74,Sean Paul,Gimme the Light,,,,,
2002,75,'N Sync,Gone,,,,,
2002,76,Ja Rule,Livin' it Up,Case,,,,
2002,77,Ludacris,Roll Out (My Business),,,,,
2002,78,Goo Goo Dolls,Here is Gone,,,,,
2002,79,Mary J. Blige,No More Drama,,,,,
2002,80,Dirty Vegas,Days go By,,,,,
2002,81,Ashanti,Baby,,,,,
2002,82,Kenny Chesney,The Good Stuff,,,,,
2002,83,Fat Joe,We Thuggin',R. Kelly,,,,
2002,84,Steve Holy,Good Morning Beautiful,,,,,
2002,85,Aaliyah,Rock the Boat,,,,,
2002,86,Alan Jackson,Drive (For Daddy Gene),,,,,
2002,87,Jewel,Standing Still,,,,,
2002,88,Jaheim,Anything,Next,,,,
2002,89,Brandy,Full Moon,,,,,
2002,90,B2K,Uh Huh,,,,,
2002,91,Celine Dion,A New Day has Come,,,,,
2002,92,Nelly Furtado,Turn Off the Light,,,,,
2002,93,George Strait,Living and Living Well,,,,,
2002,94,Toby Keith,My List,,,,,
2002,95,Alanis Morissette,Hands Clean,,,,,
2002,96,Avril Lavigne,Sk8er Boi,,,,,
2002,97,Dixie Chicks,Long Time Gone,,,,,
2002,98,Alan Jackson,Where Were You (When the World Stopped Turning),,,,,
2002,99,Justin Timberlake,Like I Love You,,,,,
2002,100,Toya,I Do!!,,,,,
2001,1,Lifehouse,Hanging By A Moment,,,,,
2001,2,Alicia Keys,Fallin',,,,,
2001,3,Janet,All For You,,,,,
2001,4,Train,Drops Of Jupiter (Tell Me),,,,,
2001,5,Jennifer Lopez,I'm Real,Ja Rule,,,,
2001,6,matchbox twenty,If You're Gone,,,,,
2001,7,Eve,Let Me Blow Ya Mind,Gwen Stefani,,,,
2001,8,Dido,Thank You,,,,,
2001,9,Lenny Kravitz,Again,,,,,
2001,10,Destiny's Child,Independent Women Part I,,,,,
2001,11,Blu Cantrell,Hit 'Em Up Style (Oops!),,,,,
2001,12,Shaggy,It Wasn't Me,"Ricardo ""RikRok"" Ducent",,,,
2001,13,Joe,Stutter,Mystikal,,,,
2001,14,Staind,It's Been Awhile,,,,,
2001,15,Usher,U Remind Me,,,,,
2001,16,Jagged Edge,Where The Party At, Nelly,,,,
2001,17,Shaggy,Angel,Rayvon,,,,
2001,18,Nelly,Ride Wit Me,City Spud,,,,
2001,19,Uncle Kracker,Follow Me,,,,,
2001,20,112,Peaches and Cream,,,,,
2001,21,Incubus,Drive,,,,,
2001,22,City High,What Would You Do?,,,,,
2001,23,Destiny's Child,Survivor,,,,,
2001,24,Christina Aguilera,Lady Marmalade,Lil' Kim,Mya,Pink,,
2001,25,Outkast,Ms. Jackson,,,,,
2001,26,Jennifer Lopez,Love Don't Cost A Thing,,,,,
2001,27,Faith Hill,The Way You Love Me,,,,,
2001,28,Dream,He Loves U Not,,,,,
2001,29,Crazy Town,Butterfly,,,,,
2001,30,Ja Rule,Put It On Me,Lil' Mo,Vita,,,
2001,31,Mary J. Blige,Family Affair,,,,,
2001,32,Lee Ann Womack,I Hope You Dance,Sons Of The Desert,,,,
2001,33,Moby,South Side,Gwen Stefani,,,,
2001,34,Madonna,Don't Tell Me,,,,,
2001,35,"Missy ""Misdemeanor"" Elliott",Get Ur Freak On,,,,,
2001,36,K-Ci,Crazy,JoJo,,,,
2001,37,Craig David,Fill Me In,,,,,
2001,38,Janet,Someone To Call My Lover,,,,,
2001,39,Creed,With Arms Wide Open,,,,,
2001,40,Mya,Case Of The Ex (Whatcha Gonna Do),,,,,
2001,41,O-Town,All Or Nothing,,,,,
2001,42,Destiny's Child,Bootylicious,,,,,
2001,43,Nelly Furtado,I'm Like A Bird,,,,,
2001,44,3 Doors Down,Kryptonite,,,,,
2001,45,R. Kelly,Fiesta,Jay-Z,,,,
2001,46,Sugar Ray,When It's Over,,,,,
2001,47,Aerosmith,Jaded,,,,,
2001,48,Jagged Edge,Promise,,,,,
2001,49,Case,Missing You,,,,,
2001,50,Ginuwine,Differences,,,,,
2001,51,'N Sync,This I Promise You,,,,,
2001,52,Jay-Z,Izzo (H.O.V.A.),,,,,
2001,53,Lil' Mo,Superwoman Pt. II,Fabolous,,,,
2001,54,Evan,Crazy For This Girl, Jaron,,,,
2001,55,Ricky Martin,Nobody Wants To Be Lonely,Christina Aguilera,,,,
2001,56,Jay-Z,I Just Wanna Love U (Give It 2 Me),,,,,
2001,57,"Missy ""Misdemeanor"" Elliott",One Minute Man,,,,,
2001,58,Mystikal,Danger (Been So Long),Nivea,,,,
2001,59,Enya,Only Time,,,,,
2001,60,Toya,I Do!!,,,,,
2001,61,S Club 7,Never Had A Dream Come True,,,,,
2001,62,Tamia,Stranger In My House,,,,,
2001,63,Jessica Simpson,Irresistible,,,,,
2001,64,Sunshine,Heard It All Before,erson,,,,
2001,65,Dave Matthews Band,The Space Between,,,,,
2001,66,Faith Hill,There You'll Be,,,,,
2001,67,Musiq Soulchild,Love,,,,,
2001,68,112,It's Over Now,,,,,
2001,69,3LW,No More (Baby I'ma Do Right),,,,,
2001,70,Nelly Furtado,Turn Off The Light,,,,,
2001,71,Brooks,Ain't Nothing `Bout You,Dunn,,,,
2001,72,Jennifer Lopez,Play,,,,,
2001,73,Lonestar,I'm Already There,,,,,
2001,74,Lil' Romeo,My Baby,,,,,
2001,75,U2,Beautiful Day,,,,,
2001,76,Blake Shelton,Austin,,,,,
2001,77,Ludacris,Southern Hospitality,,,,,
2001,78,Tim McGraw,Grown Men Don't Cry,,,,,
2001,79,Ja Rule,Livin' It Up,Case,,,,
2001,80,Mariah Carey,Loverboy,Cameo,,,,
2001,81,Isley Brothers,Contagious,Ronald Isley AKA Mr. Biggs,,,,
2001,82,Jessica,Who I Am,rews,,,,
2001,83,Erick Sermon,Music,Marvin Gaye,,,,
2001,84,Willa Ford,I Wanna Be Bad,,,,,
2001,85,Kenny Chesney,Don't Happen Twice,,,,,
2001,86,Diamond Rio,One More Day,,,,,
2001,87,R. Kelly,I Wish,,,,,
2001,88,Travis Tritt,It's A Great Day To Be Alive,,,,,
2001,89,Trick Daddy,I'm A Thug,,,,,
2001,90,Eve 6,Here's To The Night,,,,,
2001,91,Toby Keith,You Shouldn't Kiss Me Like This,,,,,
2001,92,Eden's Crush,Get Over Yourself,,,,,
2001,93,Debelah Morgan,Dance With Me,,,,,
2001,94,Outkast,"So Fresh, So Clean",,,,,
2001,95,Nelly,E.I.,,,,,
2001,96,3 Doors Down,Be Like That,,,,,
2001,97,Pink,Most Girls,,,,,
2001,98,QB's Finest,Oochie Wally,Nas,Braveheart's,,,
2001,99,Enrique Iglesias,Hero,,,,,
2001,100,Fuel,Hemorrhage (In My Hands),,,,,
2000,1,Faith Hill,Breathe,,,,,
2000,2,Santana,Smooth,Rob Thomas,,,,
2000,3,Santana,Maria Maria,The Product GandB,,,,
2000,4,Joe,I Wanna Know,,,,,
2000,5,Vertical Horizon,Everything You Want,,,,,
2000,6,Destiny's Child,Say My Name,,,,,
2000,7,Savage Garden,I Knew I Loved You,,,,,
2000,8,Lonestar,Amazed,,,,,
2000,9,matchbox twenty,Bent,,,,,
2000,10,Toni Braxton,He Wasn't Man Enough,,,,,
2000,11,Creed,Higher,,,,,
2000,12,Aaliyah,Try Again,,,,,
2000,13,Destiny's Child,Jumpin Jumpin',,,,,
2000,14,Sisqo,Thong Song,,,,,
2000,15,3 Doors Down,Kryptonite,,,,,
2000,16,Pink,There You Go,,,,,
2000,17,Madonna,Music,,,,,
2000,18,Janet,Doesn't Really Matter,,,,,
2000,19,Christina Aguilera,What A Girl Wants,,,,,
2000,20,Brian McKnight,Back At One,,,,,
2000,21,'N Sync,Bye Bye Bye,,,,,
2000,22,Marc Anthony,You Sang To Me,,,,,
2000,23,Marc Anthony,I Need To Know,,,,,
2000,24,Montell Jordan,Get It On Tonite,,,,,
2000,25,Sisqo,Incomplete,,,,,
2000,26,Macy Gray,I Try,,,,,
2000,27,'N Sync,It's Gonna Be Me,,,,,
2000,28,Celine Dion,That's The Way It Is,,,,,
2000,29,Nelly,Country Grammar (Hot Shit),,,,,
2000,30,Blaque,Bring It All To Me,,,,,
2000,31,Backstreet Boys,Show Me The Meaning Of Being Lonely,,,,,
2000,32,Missy Elliott,Hot Boyz,Nas,EVE,Q-Tip,,
2000,33,BBMak,Back Here,,,,,
2000,34,Sonique,It Feels So Good,,,,,
2000,35,Nine Days,Absolutely (Story Of A Girl),,,,,
2000,36,Creed,With Arms Wide Open,,,,,
2000,37,Enrique Iglesias,Be With You,,,,,
2000,38,Christina Aguilera,Come On Over Baby (All I Want Is You),,,,,
2000,39,Ruff Endz,No More,,,,,
2000,40,Blink 182,All The Small Things,,,,,
2000,41,Faith Hill,The Way You Love Me,,,,,
2000,42,Christina Aguilera,I Turn To You,,,,,
2000,43,Third Eye Blind,Never Let You Go,,,,,
2000,44,LeAnn Rimes,I Need You,,,,,
2000,45,Mariah Carey,Thank God I Found You,Joe,98 Degrees,,,
2000,46,Jagged Edge,Let's Get Married,,,,,
2000,47,Whitney Houston,My Love Is Your Love,,,,,
2000,48,Smash Mouth,Then The Morning Comes,,,,,
2000,49,Eiffel 65,Blue (Da Ba Dee),,,,,
2000,50,Sting,Desert Rose,Cheb Mami,,,,
2000,51,Eminem,The Real Slim Shady,,,,,
2000,52,Pink,Most Girls,,,,,
2000,53,Next,Wifey,,,,,
2000,54,Everclear,Wonderful,,,,,
2000,55,Britney Spears,Oops!... I Did It Again,,,,,
2000,56,Jessica Simpson,I Wanna Love You Forever,,,,,
2000,57,98 Degrees,Give Me Just One Night (Una Noche ),,,,,
2000,58,Filter,Take A Picture,,,,,
2000,59,Red Hot Chili Peppers,Otherside,,,,,
2000,60,Jay-Z,Big Pimpin',UGK,,,,
2000,61,Son By Four,Purest Of Pain (A Puro Dolor),,,,,
2000,62,Jagged Edge,He Can't Love U,,,,,
2000,63,Avant,Separated,,,,,
2000,64,Carl Thomas,I Wish,,,,,
2000,65,Donell Jones,U Know What's Up,,,,,
2000,66,soulDecision,Faded,Thrust,,,,
2000,67,Kid Rock,Only God Knows Why,,,,,
2000,68,Mystikal,Shake Ya Ass,,,,,
2000,69,Erykah Badu,Bag Lady,,,,,
2000,70,Train,Meet Virginia,,,,,
2000,71,DMX,Party Up (Up In Here),,,,,
2000,72,Mya,Case Of The Ex (Whatcha Gonna Do),,,,,
2000,73,Dr. Dre,Forget About Dre,Eminem,,,,
2000,74,Jo Dee Messina,That's The Way,,,,,
2000,75,Westlife,Swear It Again,,,,,
2000,76,Dr. Dre,The Next Episode,Snoop Dogg,,,,
2000,77,Britney Spears,From The Bottom Of My Broken Heart,,,,,
2000,78,Savage Garden,Crash And Burn,,,,,
2000,79,Chad Brock,Yes!,,,,,
2000,80,George Strait,The Best Day,,,,,
2000,81,Donell Jones,Where I Wanna Be,,,,,
2000,82,Toby Keith,How Do You Like Me Now?!,,,,,
2000,83,Tim McGraw,My Best Friend,,,,,
2000,84,Goo Goo Dolls,Broadway,,,,,
2000,85,Da Brat,What'chu Like,Tyrese,,,,
2000,86,Kandi,Don't Think I'm Not,,,,,
2000,87,Lee Ann Womack,I Hope You Dance,Sons Of The Desert,,,,
2000,88,Alice Deejay,Better Off Alone,,,,,
2000,89,Debelah Morgan,Dance With Me,,,,,
2000,90,Lonestar,What About Now,,,,,
2000,91,Sammie,I Like It,,,,,
2000,92,Kevon Edmonds,24/7,,,,,
2000,93,LFO,Girl On TV,,,,,
2000,94,Lil Bow Wow,Bounce With Me,Xscape,,,,
2000,95,Dixie Chicks,Cowboy Take Me Away,,,,,
2000,96,Aaliyah,I Don't Wanna,,,,,
2000,97,Destiny's Child,Independent Women Part I,,,,,
2000,98,Samantha Mumba,Gotta Tell You,,,,,
2000,99,Jennifer Lopez,Waiting For Tonight,,,,,
2000,100,Mary Mary,Shackles (Praise You),,,,,
1999,1,Cher,Believe,,,,,
1999,2,TLC,No Scrubs,,,,,
1999,3,Monica,Angel Of Mine,,,,,
1999,4,Whitney Houston,Heartbreak Hotel,,,,,
1999,5,Britney Spears,...Baby One More Time,,,,,
1999,6,Sixpence None The Richer,Kiss Me,,,,,
1999,7,Christina Aguilera,Genie In A Bottle,,,,,
1999,8,Sugar Ray,Every Morning,,,,,
1999,9,Deborah Cox,Nobody's Supposed To Be Here,,,,,
1999,10,Ricky Martin,Livin' La Vida Loca,,,,,
1999,11,702,Where My Girls At?,,,,,
1999,12,Jennifer Lopez,If You Had My Love,,,,,
1999,13,Goo Goo Dolls,Slide,,,,,
1999,14,Brandy,Have You Ever?,,,,,
1999,15,Backstreet Boys,I Want It That Way,,,,,
1999,16,R. Kelly,I'm Your Angel,Celine Dion,,,,
1999,17,Smash Mouth,All Star,,,,,
1999,18,Sarah McLachlan,Angel,,,,,
1999,19,Santana,Smooth,Rob Thomas,,,,
1999,20,TLC,Unpretty,,,,,
1999,21,Destiny's Child,"Bills, Bills, Bills",,,,,
1999,22,Eagle-Eye Cherry,Save Tonight,,,,,
1999,23,Pearl Jam,Last Kiss,,,,,
1999,24,Maxwell,Fortunate,,,,,
1999,25,Backstreet Boys,All I Have To Give,,,,,
1999,26,Enrique Iglesias,Bailamos,,,,,
1999,27,Busta Rhymes,What's It Gonna Be?!,Janet,,,,
1999,28,Everlast,What It's Like,,,,,
1999,29,Lenny Kravitz,Fly Away,,,,,
1999,30,Sugar Ray,Someday,,,,,
1999,31,Divine,Lately,,,,,
1999,32,Shania Twain,That Don't Impress Me Much,,,,,
1999,33,Will Smith,Wild Wild West,Dru Hill,Kool Moe Dee,,,
1999,34,Red Hot Chili Peppers,Scar Tissue,,,,,
1999,35,Mariah Carey,Heartbreaker,Jay-Z,,,,
1999,36,Mariah Carey,I Still Believe,,,,,
1999,37,98 Degrees,The Hardest Thing,,,,,
1999,38,LFO,Summer Girls,,,,,
1999,39,Jay-Z,Can I Get A...,Amil (Of Major Coinz),Ja,,,
1999,40,Third Eye Blind,Jumper,,,,,
1999,41,Lauryn Hill,Doo Wop (That Thing),,,,,
1999,42,Lou Bega,Mambo No. 5 (A Little Bit Of...),,,,,
1999,43,Tyrese,Sweet Lady,,,,,
1999,44,Whitney Houston,It's Not Right But It's Okay,,,,,
1999,45,'N Sync,(God Must Have Spent) A Little More Time On You,,,,,
1999,46,Shawn Mullins,Lullaby,,,,,
1999,47,112,Anywhere,Lil' Zane,,,,
1999,48,K-Ci,Tell Me It's Real,JoJo,,,,
1999,49,Matchbox 20,Back 2 Good,,,,,
1999,50,Blaque,808,,,,,
1999,51,Tal Bachman,She's So High,,,,,
1999,52,Ricky Martin,She's All I Ever Had,,,,,
1999,53,Will Smith,Miami,,,,,
1999,54,Jewel,Hands,,,,,
1999,55,JT Money,Who Dat,Sole,,,,
1999,56,Tim McGraw,Please Remember Me,,,,,
1999,57,Shania Twain,From This Moment On,,,,,
1999,58,Faith Evans,Love Like This,,,,,
1999,59,Jesse Powell,You,,,,,
1999,60,Total,Trippin',Missy Elliott,,,,
1999,61,Silk,If You (Lovin' Me),,,,,
1999,62,Lauryn Hill,Ex-Factor,,,,,
1999,63,Jordan Knight,Give It To You,,,,,
1999,64,Goo Goo Dolls,Black Balloon,,,,,
1999,65,Eric Benet,Spend My Life With You,Tamia,,,,
1999,66,Dru Hill,These Are The Times,,,,,
1999,67,Mark Chesnutt,I Don't Want To Miss A Thing,,,,,
1999,68,98 Degrees,I Do (Cherish You),,,,,
1999,69,98 Degrees,Because Of You,,,,,
1999,70,Sarah McLachlan,I Will Remember You (Live),,,,,
1999,71,Chante Moore,Chante's Got A Man,,,,,
1999,72,Case,Happily Ever After,,,,,
1999,73,Whitney Houston,My Love Is Your Love,,,,,
1999,74,Faith Evans,All Night Long,Puff Daddy,,,,
1999,75,Juvenile,Back That Thang Up,Mannie Fresh,Lil' Wayne,,,
1999,76,Brandy,Almost Doesn't Count,,,,,
1999,77,Shania Twain,Man! I Feel Like A Woman!,,,,,
1999,78,Len,Steal My Sunshine,,,,,
1999,79,Marc Anthony,I Need To Know,,,,,
1999,80,Ginuwine,So Anxious,,,,,
1999,81,Case,Faded Pictures,Joe,,,,
1999,82,Brian McKnight,Back At One,,,,,
1999,83,R. Kelly,When A Woman's Fed Up,,,,,
1999,84,Kenny Chesney,How Forever Feels,,,,,
1999,85,Lonestar,Amazed,,,,,
1999,86,Britney Spears,Sometimes,,,,,
1999,87,Mo Thugs Family,Ghetto Cowboy,Bone Thugs-N-Harmony,,,,
1999,88,Fastball,Out Of My Head,,,,,
1999,89,Jay-Z,Hard Knock Life (Ghetto Anthem),,,,,
1999,90,Naughty By Nature,Jamboree,Zhane,,,,
1999,91,BLACKstreet,Take Me There,Mya,Mase,Blinky Blink,,
1999,92,Joey McIntyre,Stay The Same,,,,,
1999,93,Jo Dee Messina,Lesson In Leavin',,,,,
1999,94,Goo Goo Dolls,Iris,,,,,
1999,95,Puff Daddy,Satisfy You,R. Kelly,,,,
1999,96,Citizen King,Better Days (And The Bottom Drops Out),,,,,
1999,97,'N Sync,Music Of My Heart,Gloria Estefan,,,,
1999,98,George Strait,Write This Down,,,,,
1999,99,Whitney Houston,When You Believe,Mariah Carey,,,,
1999,100,Alabama,God Must Have Spent A Little More Time On You,'N Sync,,,,
1998,1,Next,Too Close,,,,,
1998,2,Brandy,The Boy Is Mine,Monica,,,,
1998,3,Shania Twain,You're Still The One,,,,,
1998,4,Savage Garden,Truly Madly Deeply,,,,,
1998,5,LeAnn Rimes,How Do I Live,,,,,
1998,6,Janet,Together Again,,,,,
1998,7,K-Ci,All My Life,JoJo,,,,
1998,8,Elton John,Candle In The Wind 1997,,,,,
1998,9,Usher,Nice and Slow,,,,,
1998,10,Paula Cole,I Don't Want To Wait,,,,,
1998,11,Third Eye Blind,How's It Going To Be,,,,,
1998,12,Destiny's Child,"No, No, No",,,,,
1998,13,Celine Dion,My Heart Will Go On,,,,,
1998,14,Will Smith,Gettin' Jiggy Wit It,,,,,
1998,15,Usher,You Make Me Wanna...,,,,,
1998,16,Usher,My Way,,,,,
1998,17,Mariah Carey,My All,,,,,
1998,18,Monica,The First Night,,,,,
1998,19,Puff Daddy,Been Around The World,The Family,,,,
1998,20,Sarah McLachlan,Adia,,,,,
1998,21,Jennifer Paige,Crush,,,,,
1998,22,Backstreet Boys,Everybody (Backstreet's Back),,,,,
1998,23,Aerosmith,I Don't Want To Miss A Thing,,,,,
1998,24,Public Announcement,Body Bumpin (Yippie-Yi-Yo),,,,,
1998,25,Faith Hill,This Kiss,,,,,
1998,26,Uncle Sam,I Don't Ever Want To See You Again,,,,,
1998,27,Montell Jordan,Let's Ride,,,,,
1998,28,Marcy Playground,Sex And Candy,,,,,
1998,29,Robyn,Show Me Love,,,,,
1998,30,Boyz II Men,A Song For Mama,,,,,
1998,31,Mase,What You Want,,,,,
1998,32,Madonna,Frozen,,,,,
1998,33,Wyclef Jean,Gone Till November,,,,,
1998,34,Lsg,My Body,,,,,
1998,35,Chumbawamba,Tubthumping,,,,,
1998,36,Lord Tariq,Deja Vu (Uptown Baby),Peter Gunz,,,,
1998,37,'N Sync,I Want You Back,,,,,
1998,38,Five,When The Lights Go Out,,,,,
1998,39,Jon B.,They Don't Know,,,,,
1998,40,Master P,Make Em' Say Uhh!,,,,,
1998,41,Nicole,Make It Hot,"Missy ""Misdemeanor"" Elliott",Mocha,,,
1998,42,All Saints,Never Ever,,,,,
1998,43,Janet,I Get Lonely,,,,,
1998,44,Mase,Feel So Good,,,,,
1998,45,Voices Of Theory,Say It,,,,,
1998,46,Billie Myers,Kiss The Rain,,,,,
1998,47,Puff Daddy,Come With Me,,,,,
1998,48,Sylk-E Fyne,Romeo And Juliet,,,,,
1998,49,Mya,It's All About Me,Sisqo,,,,
1998,50,Hanson,I Will Come To You,,,,,
1998,51,Barenaked Ladies,One Week,,,,,
1998,52,K.P.,Swing My Way,Envyi,,,,
1998,53,Xscape,The Arms Of The One Who Loves You,,,,,
1998,54,Somethin' For The People,My Love Is The Shhh!,,,,,
1998,55,Tatyana Ali,Daydreamin',,,,,
1998,56,Dru Hill,We're Not Making Love No More,,,,,
1998,57,Third Eye Blind,Semi-Charmed Life,,,,,
1998,58,Lisa Loeb,I Do,,,,,
1998,59,Mase,Lookin' At Me,,,,,
1998,60,LeAnn Rimes,Looking Through Your Eyes,,,,,
1998,61,Divine,Lately,,,,,
1998,62,Backstreet Boys,Quit Playing Games (With My Heart),,,,,
1998,63,Next,I Still Love You,,,,,
1998,64,Inoj,Time After Time,,,,,
1998,65,Jimmy Ray,Are You Jimmy Ray?,,,,,
1998,66,Ace Of Base,Cruel Summer,,,,,
1998,67,Master P,I Got The Hook Up!,,,,,
1998,68,Puff Daddy,Victory,The Family,,,,
1998,69,Spice Girls,Too Much,,,,,
1998,70,Pras,Ghetto Supastar (That Is What You Are),Ol' Dirty Bastard,,,,
1998,71,Dru Hill,How Deep Is Your Love,Redman,,,,
1998,72,Kelly Price,Friend Of Mine,,,,,
1998,73,Busta Rhymes,Turn It Up / Fire It Up,,,,,
